subject;task;n_particles;n_mcmc_steps;lml;runtime
str;str;int;int;float;float
S1;REST1;250;50;5036.6426;14.378629684448242
S1;REST2;250;50;4165.2046;9.95505428314209
S1;EMOTION;250;50;-2987.9275;9.712846517562866
S1;GAMBLING;250;50;-778.19745;9.232194423675537
S1;LANGUAGE;250;50;-4257.7646;9.256286144256592
S1;MOTOR;250;50;-5482.083;9.20252275466919
S1;RELATIONAL;250;50;-5467.8926;9.16296911239624
S1;SOCIAL;250;50;-3237.1719;9.194068193435669
S1;WM;250;50;-4574.3843;9.77919340133667
S1;REST1;250;100;6863.0117;20.689831972122192
S1;REST2;250;100;5933.794;15.614977359771729
S1;EMOTION;250;100;-1569.8867;15.246236801147461
S1;REST1;250;250;10905.238;39.88887357711792
S1;GAMBLING;250;100;885.68713;15.77045202255249
S1;LANGUAGE;250;100;-2566.2148;15.068763017654419
S1;REST2;250;250;9596.197;34.58618140220642
S1;REST1;250;500;12737.211;70.09582352638245
S1;MOTOR;250;100;-4292.292;14.790298223495483
S1;RELATIONAL;250;100;-4219.0396;15.144084215164185
S1;EMOTION;250;250;1642.6768;33.336501121520996
S1;SOCIAL;250;100;-2012.2633;15.001776218414307
S1;WM;250;100;-3576.9658;15.302641868591309
S1;GAMBLING;250;250;3768.3342;33.589895248413086
S1;REST2;250;500;11300.913;67.42945671081543
S1;LANGUAGE;250;250;-233.24722;31.64306139945984
S1;MOTOR;250;250;-2003.582;31.435436010360718
S1;EMOTION;250;500;2982.8176;63.68745970726013
S1;RELATIONAL;250;250;-2093.2068;30.599491834640503
S1;SOCIAL;250;250;675.0052;32.18632745742798
S1;GAMBLING;250;500;5360.2734;63.63914632797241
S1;WM;250;250;-1032.5256;31.634141206741333
S1;LANGUAGE;250;500;1467.3657;62.42404651641846
S1;MOTOR;250;500;-542.43884;59.537445306777954
S1;RELATIONAL;250;500;-433.5802;59.929189682006836
S1;SOCIAL;250;500;2407.4465;62.086310386657715
S1;WM;250;500;544.8891;61.77343273162842
S1;REST1;500;50;5474.4976;18.446375131607056
S1;REST2;500;50;4194.3706;13.72060251235962
S1;REST1;500;100;7347.029;30.19818878173828
S1;EMOTION;500;50;-2958.1902;13.405683040618896
S1;GAMBLING;500;50;-711.336;14.12190556526184
S1;REST2;500;100;6012.5405;24.674665451049805
S1;LANGUAGE;500;50;-3768.2664;13.139003038406372
S1;MOTOR;500;50;-5376.6724;13.051060914993286
S1;EMOTION;500;100;-1153.1908;24.122896671295166
S1;REST1;500;250;11372.771;64.929194688797
S1;RELATIONAL;500;50;-5240.74;13.706405639648438
S1;GAMBLING;500;100;872.3418;24.530447006225586
S1;SOCIAL;500;50;-2776.7183;13.364845752716064
S1;WM;500;50;-4617.7183;13.966213703155518
S1;LANGUAGE;500;100;-2542.2253;23.67145085334778
S1;REST2;500;250;9617.041;59.581358909606934
S1;MOTOR;500;100;-3931.6973;23.493146419525146
S1;RELATIONAL;500;100;-3999.7485;23.059834957122803
S1;SOCIAL;500;100;-1834.4652;23.416003942489624
S1;EMOTION;500;250;1372.1833;56.1300733089447
S1;WM;500;100;-3329.0715;22.787889003753662
S1;GAMBLING;500;250;4178.0186;58.73525643348694
S1;LANGUAGE;500;250;18.42905;55.373743534088135
S1;MOTOR;500;250;-1692.2606;55.07895374298096
S1;RELATIONAL;500;250;-1858.4783;54.86070966720581
S1;SOCIAL;500;250;834.9823;55.72797441482544
S1;WM;500;250;-780.3217;55.11069345474243
S1;REST1;750;50;5852.0874;24.064107418060303
S1;REST2;750;50;4521.751;18.86115002632141
S1;REST1;750;100;8301.378;40.63873553276062
S1;EMOTION;750;50;-2680.6956;17.803943634033203
S1;GAMBLING;750;50;-543.5155;18.749658823013306
S1;REST2;750;100;6481.3843;35.60230350494385
S1;LANGUAGE;750;50;-3622.3875;18.128999710083008
S1;EMOTION;750;100;-1279.9618;32.61487531661987
S1;MOTOR;750;50;-5416.191;17.891579151153564
S1;REST1;500;500;12901.43;123.5835337638855
S1;RELATIONAL;750;50;-5250.088;17.86554980278015
S1;GAMBLING;750;100;1099.6652;33.28763961791992
S1;SOCIAL;750;50;-2920.25;17.738946437835693
S1;WM;750;50;-4305.9507;17.633676767349243
S1;LANGUAGE;750;100;-2341.9358;32.733829498291016
S1;MOTOR;750;100;-4181.724;31.150530576705933
S1;REST2;500;500;11438.018;119.00742030143738
S1;RELATIONAL;750;100;-3824.683;31.929635286331177
S1;SOCIAL;750;100;-1640.4181;32.552863121032715
S1;WM;750;100;-3367.5906;31.441142559051514
S1;EMOTION;500;500;2935.1191;112.50597858428955
S1;GAMBLING;500;500;5528.8804;115.05468988418579
S1;LANGUAGE;500;500;1445.7848;112.60573434829712
S1;MOTOR;500;500;-397.33322;110.29993486404419
S1;REST1;750;250;11394.246;94.37753415107727
S1;RELATIONAL;500;500;-114.76368;112.85206294059753
S1;REST2;750;250;9844.956;86.2248854637146
S1;REST1;750;500;13025.727;183.0722918510437
S1;SOCIAL;500;500;2441.8196;112.60993266105652
S1;EMOTION;750;250;1667.8635;83.26740765571594
S1;GAMBLING;750;250;3885.4253;84.05500078201294
S1;WM;500;500;686.7345;110.59153771400452
S1;REST2;750;500;11540.377;178.53011631965637
S1;LANGUAGE;750;250;-38.462234;80.95378303527832
S1;MOTOR;750;250;-1715.4104;79.32380437850952
S1;EMOTION;750;500;3072.803;169.4451105594635
S1;REST1;1000;50;5648.7715;28.11728858947754
S1;REST2;1000;50;4498.3345;23.523746728897095
S1;RELATIONAL;750;250;-1631.8947;79.62141346931458
S1;EMOTION;1000;50;-2602.7202;21.61223816871643
S1;GAMBLING;1000;50;-467.6843;22.53385353088379
S1;LANGUAGE;1000;50;-3492.3008;21.76844072341919
S1;MOTOR;1000;50;-5262.926;22.167827129364014
S1;SOCIAL;750;250;1068.4419;81.72868728637695
S1;RELATIONAL;1000;50;-5222.436;21.915011882781982
S1;SOCIAL;1000;50;-2972.4485;22.707279920578003
S1;GAMBLING;750;500;5625.01;170.71919965744019
S1;WM;1000;50;-4417.646;21.624930381774902
S1;WM;750;250;-692.63654;81.17197108268738
S1;LANGUAGE;750;500;1542.5962;166.24825596809387
S1;MOTOR;750;500;-364.20062;164.4537477493286
S1;RELATIONAL;750;500;-175.55505;165.67286372184753
S1;SOCIAL;750;500;2412.3123;168.4925332069397
S1;REST1;1000;100;7736.6685;50.16926574707031
S1;REST2;1000;100;6406.3384;46.25528144836426
S1;REST1;1000;250;11509.809;126.38279294967651
S1;EMOTION;1000;100;-907.83746;42.04236173629761
S1;GAMBLING;1000;100;1172.1423;43.685041666030884
S1;WM;750;500;754.46716;166.679212808609
S1;LANGUAGE;1000;100;-2327.0493;41.63824772834778
S1;REST2;1000;250;9992.25;118.21931886672974
S1;MOTOR;1000;100;-4009.7402;41.14513850212097
S1;RELATIONAL;1000;100;-3992.3792;41.29685568809509
S1;SOCIAL;1000;100;-1594.2919;41.335453510284424
S1;EMOTION;1000;250;1617.7863;110.68638467788696
S1;WM;1000;100;-3090.09;42.266175746917725
S1;GAMBLING;1000;250;4006.9497;110.90393209457397
S1;LANGUAGE;1000;250;295.785;108.51760983467102
S1;REST1;2000;50;6245.7393;49.77728772163391
S1;REST2;2000;50;4921.1113;44.91110944747925
S1;EMOTION;2000;50;-2223.093;42.73283123970032
S1;MOTOR;1000;250;-1690.5234;108.61036801338196
S1;GAMBLING;2000;50;-180.99934;43.42999053001404
S1;LANGUAGE;2000;50;-3483.7024;42.19491720199585
S1;REST1;1000;500;12919.373;242.74932527542114
S1;RELATIONAL;1000;250;-1658.308;105.82780528068542
S1;MOTOR;2000;50;-5523.483;38.966909646987915
S1;RELATIONAL;2000;50;-5107.565;40.255866050720215
S1;SOCIAL;2000;50;-2840.6868;41.47868204116821
S1;SOCIAL;1000;250;948.3666;108.99073576927185
S1;WM;2000;50;-4245.783;40.4876446723938
S1;WM;1000;250;-663.101;107.86832594871521
S1;REST2;1000;500;11603.953;236.05645084381104
S1;EMOTION;1000;500;3002.0183;223.16827583312988
S1;REST1;2000;100;8569.6455;96.2551383972168
S1;REST2;2000;100;6768.379;90.16200065612793
S1;REST1;2000;250;11320.567;241.96474599838257
S1;EMOTION;2000;100;-808.91986;85.58577013015747
S1;GAMBLING;1000;500;5649.1533;227.50980830192566
S1;GAMBLING;2000;100;1270.0735;85.40931248664856
S1;LANGUAGE;2000;100;-2483.5122;82.9200611114502
S1;REST2;2000;250;10058.349;243.31688499450684
S1;LANGUAGE;1000;500;1577.7229;223.47206497192383
S1;MOTOR;2000;100;-3721.4656;81.85699534416199
S1;RELATIONAL;2000;100;-4077.336;81.15549421310425
S1;SOCIAL;2000;100;-1188.6411;84.64650440216064
S1;EMOTION;2000;250;1837.9126;227.8129279613495
S1;MOTOR;1000;500;-313.4623;216.98930406570435
S1;WM;2000;100;-3096.575;82.83977937698364
S1;GAMBLING;2000;250;4216.36;229.35274410247803
S1;RELATIONAL;1000;500;-289.91638;219.65241980552673
S1;LANGUAGE;2000;250;428.62778;222.64885807037354
S1;SOCIAL;1000;500;2437.8071;223.82175588607788
S1;REST1;2000;500;13108.597;502.11262488365173
S1;MOTOR;2000;250;-1564.9845;218.5479609966278
S1;WM;1000;500;819.1466;221.2816562652588
S1;RELATIONAL;2000;250;-1525.9036;216.10599517822266
S1;SOCIAL;2000;250;1171.8259;222.74529600143433
S1;REST2;2000;500;11620.189;496.51585626602173
S1;WM;2000;250;-428.94748;222.5605411529541
S1;EMOTION;2000;500;3128.4116;469.7978320121765
S1;GAMBLING;2000;500;5766.1104;473.79848551750183
S1;LANGUAGE;2000;500;1688.0547;464.96605706214905
S1;MOTOR;2000;500;-255.64404;456.8988103866577
S1;RELATIONAL;2000;500;-87.98983;460.985267162323
S1;SOCIAL;2000;500;2650.0588;469.4739260673523
S1;WM;2000;500;833.68604;460.5611484050751
